2024-06-01 17:51:55.652 INFO       [restartedMain] c.e.s.Security5jwtappApplication - Starting Security5jwtappApplication using Java 17.0.10 with PID 52327 (/home/unitedsol/Documents/workspace-spring-tool-suite/security5jwtapp/target/classes started by unitedsol in /home/unitedsol/Documents/workspace-spring-tool-suite/security5jwtapp)
2024-06-01 17:51:55.653 INFO       [restartedMain] c.e.s.Security5jwtappApplication - No active profile set, falling back to 1 default profile: "default"
2024-06-01 17:51:56.218 INFO       [restartedMain] o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2024-06-01 17:51:56.223 INFO       [restartedMain] o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 3 ms. Found 0 JPA repository interfaces.
2024-06-01 17:51:56.661 INFO       [restartedMain] o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2024-06-01 17:51:56.667 INFO       [restartedMain] o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2024-06-01 17:51:56.673 INFO       [restartedMain] o.a.catalina.core.StandardService - Starting service [Tomcat]
2024-06-01 17:51:56.679 INFO       [restartedMain] o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.24]
2024-06-01 17:51:56.696 INFO       [restartedMain] o.a.c.c.C.[Tomcat-1].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2024-06-01 17:51:56.699 INFO       [restartedMain] o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1041 ms
2024-06-01 17:51:56.790 INFO       [restartedMain] com.zaxxer.hikari.HikariDataSource - HikariPool-7 - Starting...
2024-06-01 17:51:56.908 INFO       [restartedMain] com.zaxxer.hikari.pool.HikariPool - HikariPool-7 - Added connection com.mysql.cj.jdbc.ConnectionImpl@f88a8dd
2024-06-01 17:51:56.909 INFO       [restartedMain] com.zaxxer.hikari.HikariDataSource - HikariPool-7 - Start completed.
2024-06-01 17:51:56.978 INFO       [restartedMain] o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2024-06-01 17:51:56.982 INFO       [restartedMain] o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
2024-06-01 17:51:57.040 INFO       [restartedMain] o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2024-06-01 17:51:57.052 WARN       [restartedMain] org.hibernate.orm.deprecation - HHH90000025: MySQL8Dialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
2024-06-01 17:51:57.052 WARN       [restartedMain] org.hibernate.orm.deprecation - HHH90000026: MySQL8Dialect has been deprecated; use org.hibernate.dialect.MySQLDialect instead
2024-06-01 17:51:57.129 INFO       [restartedMain] o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2024-06-01 17:51:57.137 INFO       [restartedMain] o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2024-06-01 17:51:57.272 WARN       [restartedMain] o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2024-06-01 17:51:57.685 INFO       [restartedMain] o.s.s.p.JdbcUserDetailsManager - No authentication manager set. Reauthentication of users when changing passwords will not be performed.
2024-06-01 17:51:57.691 INFO       [restartedMain] o.s.s.c.a.a.c.InitializeUserDetailsBeanManagerConfigurer$InitializeUserDetailsManagerConfigurer - Global AuthenticationManager configured with UserDetailsService bean with name userDetailsService
2024-06-01 17:51:57.939 INFO       [restartedMain] o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@256d8372, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@39418940, org.springframework.security.web.context.SecurityContextHolderFilter@501e3106, org.springframework.security.web.header.HeaderWriterFilter@5f6cd697, org.springframework.web.filter.CorsFilter@1177f196, org.springframework.security.web.authentication.logout.LogoutFilter@c2050c2, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@2b457098, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@1061abac, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@29801f59, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@11369290, org.springframework.security.web.session.SessionManagementFilter@4f097345, org.springframework.security.web.access.ExceptionTranslationFilter@5cc38f96, org.springframework.security.web.access.intercept.AuthorizationFilter@3852098f]
2024-06-01 17:51:58.241 INFO       [restartedMain] o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729
2024-06-01 17:51:58.257 INFO       [restartedMain] o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2024-06-01 17:51:58.261 INFO       [restartedMain] o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/'
2024-06-01 17:51:58.272 INFO       [restartedMain] c.e.s.Security5jwtappApplication - Started Security5jwtappApplication in 2.691 seconds (process running for 423.362)
2024-06-01 17:51:58.278 INFO       [restartedMain] o.s.b.d.a.ConditionEvaluationDeltaLoggingListener - Condition evaluation unchanged
2024-06-01 18:21:00.731 INFO       [http-nio-8080-exec-1] o.a.c.c.C.[Tomcat-1].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
